,alb,ara,chn,deu,ell,eng,fra,fin,hrv,ind,ita,jpn,pol,por,zsm,nld,rus,spa,vnm
bears,Ku është ariu?,أين هو الدب؟,熊在哪里？,Wo ist der Bär?,Πού είναι η αρκούδα;,Where is the bear?,Où est l'ours ?,Missä karhu on?,Gdje je medvjed?,Di mana beruang itu?,Dov'è l'orso?,クマはどこですか？,Gdzie jest niedzwiedz?,Onde está o urso?,Di manakah beruang?,Waar is de beer?,Где медведь?,¿Donde está el oso?,Con gấu ở đâu?
bees,Ku është bleta?,أين النحلة؟,蜜蜂在哪里？,Wo ist die Biene?,Πού είναι η μέλισσα;,Where is the bee?,Où est l'abeille ?,Missä on mehiläinen?,Gdje je pčela?,Di manakah lebah itu?,Dov'è l'ape?,ハチはどこですか？,Gdzie jest pszczola?,Onde está a abelha?,Di manakah lebah?,Waar is de bij?,Где пчела?,¿Dónde está la abeja?,Con ong ở đâu?
cats,Ku është macja?,أين القطة؟,猫在哪里？,Wo ist die Katze?,Που είναι η γάτα?,Where is the cat?,Où est le chat ?,Missä kissa on?,Gdje je mačka?,Di mana kucing itu?,Dov'è il gatto?,猫はどこですか？,Gdzie jest kot?,Onde está o gato?,Di mana kucing?,Waar is de kat?,Где кошка?,¿Donde está el gato?,Con mèo ở đâu rồi?
crocodiles,Ku është krokodili?,أين التمساح؟,鳄鱼在哪里？,Wo ist das Krokodil?,Πού είναι ο κροκόδειλος;,Where is the crocodile?,Où est le crocodile ?,Missä on krokotiili?,Gdje je krokodil?,Di manakah buaya itu?,Dov'è il coccodrillo?,ワニはどこですか？,Gdzie jest krokodyl?,Onde está o crocodilo?,Di manakah buaya?,Waar is de krokodil?,Где крокодил?,¿Dónde está el cocodrilo?,Cá sấu đâu?
dogs,Ku është qeni?,أين هو الكلب؟,狗去哪儿了？,Wo ist der Hund?,Που είναι ο σκύλος?,Where is the dog?,Où est le chien ?,Missä koira on?,Gdje je pas?,Dimana anjing itu?,Dov'è il cane?,犬はどこですか？,Gdzie jest pies?,Onde está o cachorro?,Di manakah anjing?,Waar is de hond?,Где собака?,¿Dónde está el perro?,Con chó ở đâu?
eagles,Ku është shqiponja?,أين النسر؟,老鹰在哪里？,Wo ist der Adler?,Πού είναι ο αετός;,Where is the eagle?,Où est l'aigle ?,Missä kotka on?,Gdje je orao?,Di manakah helang?,Dov'è l'aquila?,ワシはどこですか？,Gdzie jest orzel?,Onde está a águia?,Di manakah helang?,Waar is de adelaar?,Где орёл?,¿Dónde está el águila?,Đại bàng ở đâu?
elephants,Ku është elefanti?,أين الفيل؟,大象在哪里？,Wo ist der Elefant?,Πού είναι ο ελέφαντας;,Where is the elephant?,Où est l'éléphant ?,Missä norsu on?,Gdje je slon?,Di manakah gajah itu?,Dov'è l'elefante?,象はどこですか？,Gdzie jest slon?,Onde está o elefante?,Di manakah gajah?,Waar is de olifant?,Где слон?,¿Dónde está el elefante?,Con voi ở đâu?
horses,Ku është kali?,أين هو الحصان؟,马在哪里？,Wo ist das Pferd?,Πού είναι το άλογο;,Where is the horse?,Où est le cheval ?,Missä hevonen on?,Gdje je konj?,Di manakah kuda itu?,Dov'è il cavallo?,馬はどこですか？,Gdzie jest kon?,Onde está o cavalo?,Di manakah kuda?,Waar is het paard?,Где лошадь?,¿Dónde está el caballo?,Con ngựa ở đâu?
lions,Ku është luani?,اين الاسد؟,狮子在哪里？,Wo ist der Löwe?,Πού είναι το λιοντάρι;,Where is the lion?,Où est le lion ?,Missä leijona on?,Gdje je lav?,Di mana singa itu?,Dov'è il leone?,ライオンはどこですか？,Gdzie jest lew?,Onde está o leão?,Di mana singa?,Waar is de leeuw?,Где лев?,¿Dónde está el león?,Sư tử ở đâu?
owls,Ku është bufi?,أين البومة؟,猫头鹰在哪里？,Wo ist die Eule?,Πού είναι η κουκουβάγια;,Where is the owl?,Où est la chouette ?,Missä on owl?,Gdje je sova?,Di manakah burung hantu?,Dov'è il gufo?,フクロウはどこですか？,Gdzie jest sowa?,Onde está a coruja?,Di manakah burung hantu?,Waar is de uil?,Где сова?,¿Dónde está el búho?,Con cú đâu rồi?
parrots,Ku është papagalli?,أين الببغاء؟,鹦鹉在哪里？,Wo ist der Papagei?,Πού είναι ο παπαγάλος;,Where is the parrot?,Où est le perroquet ?,Missä papukaija on?,Gdje je papiga?,Di manakah burung nuri?,Dov'è il pappagallo?,オウムはどこですか？,Gdzie jest popuga?,Onde está o papagaio?,Di manakah burung nuri?,Waar is de papegaai?,Где попугай?,¿Dónde está el loro?,Con vẹt đâu rồi?
pigeons,Ku është pëllumbi?,أين الحمامة؟,鸽子在哪里？,Wo ist die Taube?,Πού είναι το περιστέρι;,Where is the pigeon?,Où est le pigeon ?,Missä kyyhkysi on?,Gdje je golub?,Di manakah merpati itu?,Dov'è il piccione?,ハトはどこですか？,Gdzie jest pingwin?,Onde está o pombo?,Di manakah merpati?,Waar is de duif?,Где голубь?,¿Dónde está la paloma?,Đâu là chim bồ câu?
rabbits,Ku është lepuri?,أين هو الأرنب؟,兔子在哪里？,Wo ist der Hase?,Πού είναι το κουνέλι;,Where is the rabbit?,Où est le lapin ?,Missä on kani?,Gdje je kunić?,Di manakah arnab?,Dov'è il coniglio?,ウサギはどこですか？,Gdzie jest krolik?,Onde está o coelho?,Di manakah arnab?,Waar is het konijn?,Где кролик?,¿Donde está el conejo?,Con thỏ ở đâu?
squirrels,Ku është ketri?,أين هو السنجاب؟,松鼠在哪里？,Wo ist das Eichhörnchen?,Πού είναι ο σκίουρος;,Where is the squirrel?,Où est l'écureuil ?,Missä on orava?,Gdje je vjeverica?,Di manakah tupai itu?,Dov'è lo scoiattolo?,リスはどこですか？,Gdzie jest wiewiorka?,Onde está o esquilo?,Di manakah tupai?,Waar is de eekhoorn?,Где белка?,¿Dónde está la ardilla?,Con sóc ở đâu?
tigers,Ku është tigri?,أين النمر؟,老虎在哪里？,Wo ist der Tiger?,Πού είναι η τίγρη;,Where is the tiger?,Où est le tigre ?,Missä tiikeri on?,Gdje je tigar?,Di manakah harimau?,Dov'è la tigre?,虎はどこですか？,Gdzie jest tygrys?,Onde está o tigre?,Yang manakah harimau?,Waar is de tijger?,Где тигр?,¿Dónde está el tigre?,Con hổ ở đâu?
turtles,Ku është breshka?,أين السلحفاة؟,乌龟在哪里？,Wo ist die Schildkröte?,Πού είναι η χελώνα;,Where is the turtle?,Où est la tortue ?,Missä kilpikonna on?,Gdje je kornjača?,Di mana penyu?,Dov'è la tartaruga?,カメはどこですか？,Gdzie jest zolw?,Onde está a tartaruga?,Yang manakah penyu?,Waar is de schildpad?,Где черепаха?,¿Dónde está la tortuga?,Con rùa ở đâu?
